30005,bicepcurls,15,-11.81000042,5.98999977,19.36000061,1.69000006,1.51999998,-2.49000001,12,concentric
30005,bicepcurls,15,-11.82999992,5.98000002,19.35000038,1.83000004,2.03999996,-2.59999991,22,concentric
30005,bicepcurls,15,-11.84000015,5.98000002,19.37000084,2.00000000,1.95000005,-2.57999992,32,concentric
30005,bicepcurls,15,-11.89000034,5.98000002,19.35000038,2.16000009,1.97000003,-3.01999998,42,concentric
30005,bicepcurls,15,-11.93000031,5.96999979,19.32999992,2.07999992,1.78999996,-2.90000010,52,concentric
30005,bicepcurls,15,-11.88000011,5.98999977,19.30999947,2.27999997,1.75000000,-2.93000007,62,concentric
30005,bicepcurls,15,-11.90999985,5.98000002,19.34000015,2.35999990,1.64999998,-3.07999992,72,concentric
30005,bicepcurls,15,-11.96000004,6.00000000,19.36000061,2.54999995,1.16999996,-2.91000009,82,concentric
30005,bicepcurls,15,-12.01000023,5.96000004,19.29000092,2.79999995,0.47999999,-2.72000003,92,concentric
30005,bicepcurls,15,-12.02999973,5.96999979,19.29000092,3.04999995,-0.28000000,-2.88000011,102,concentric
30005,bicepcurls,15,-12.00000000,5.96999979,19.31999969,3.19000006,-1.03999996,-2.52999997,112,concentric
30005,bicepcurls,15,-11.96000004,6.03999996,19.28000069,3.19000006,-1.78999996,-2.36999989,122,concentric
30005,bicepcurls,15,-11.88000011,6.01000023,19.29000092,3.28999996,-2.52999997,-1.83000004,132,concentric
30005,bicepcurls,15,-11.82999992,5.98000002,19.29000092,3.22000003,-2.75999999,-1.64999998,142,concentric
30005,bicepcurls,15,-11.81999969,5.96999979,19.29000092,3.23000002,-3.24000001,-1.30999994,152,concentric
30005,bicepcurls,15,-11.81000042,6.03000021,19.29999924,3.45000005,-3.36999989,-1.21000004,162,concentric
30005,bicepcurls,15,-11.76000023,6.03000021,19.35000038,3.07999992,-2.83999991,-1.11000001,172,concentric
30005,bicepcurls,15,-11.78999996,6.03000021,19.37000084,2.83999991,-2.73000002,-0.70999998,182,concentric
30005,bicepcurls,15,-11.78999996,6.03000021,19.36000061,2.75999999,-2.23000002,-0.31000000,192,concentric
